#show processes cpu platform sorted
No time source, *11:47:24.513 UTC Wed Nov 7 2018
CPU utilization for five seconds:  1%, one minute:  0%, five minutes:  1%
Core 0: CPU utilization for five seconds:  1%, one minute:  0%, five minutes:  1%
Core 1: CPU utilization for five seconds:  0%, one minute:  0%, five minutes:  0%
   Pid    PPid    5Sec    1Min    5Min  Status        Size  Name                  
   361       2      0%      0%      0%  S                0  aio/0                 
   306       2      0%      0%      0%  S                0  kswapd0               
   305       2      0%      0%      0%  S                0  khungtaskd            
   249       2      0%      0%      0%  S                0  kseriod               
   246       2      0%      0%      0%  S                0  khubd                 
   242       2      0%      0%      0%  S                0  ata_aux               
   241       2      0%      0%      0%  S                0  ata/1                 
   240       2      0%      0%      0%  S                0  ata/0                 
   191       2      0%      0%      0%  S                0  kacpi_hotplug         
   190       2      0%      0%      0%  S                0  kacpi_notify          
   189       2      0%      0%      0%  S                0  kacpid                
   187       2      0%      0%      0%  S                0  kblockd/1             
   186       2      0%      0%      0%  S                0  kblockd/0             
   185       2      0%      0%      0%  S                0  bdi-default           
   183       2      0%      0%      0%  S                0  sync_supers           
    61       2      0%      0%      0%  S                0  async/mgr             
    58       2      0%      0%      0%  S                0  netns                 
    34       2      0%      0%      0%  S                0  khelper               
    33       2      0%      0%      0%  S                0  cpuset                
    32       2      0%      0%      0%  S                0  events/1              
    31       2      0%      0%      0%  S                0  events/0              
    30       2      0%      0%      0%  S                0  desched/1             
    29       2      0%      0%      0%  S                0  watchdog/1            
    28       2      0%      0%      0%  S                0  sirq-rcu/1            
    27       2      0%      0%      0%  S                0  sirq-hrtimer/1        
    26       2      0%      0%      0%  S                0  sirq-sched/1          
    25       2      0%      0%      0%  S                0  sirq-tasklet/1        
    24       2      0%      0%      0%  S                0  sirq-block-iopo       
    23       2      0%      0%      0%  S                0  sirq-block/1          
    22       2      0%      0%      0%  S                0  sirq-net-rx/1         
    21       2      0%      0%      0%  S                0  sirq-net-tx/1         
    20       2      0%      0%      0%  S                0  sirq-timer/1          
    19       2      0%      0%      0%  S                0  sirq-high/1           
    18       2      0%      0%      0%  S                0  stopper/1             
    17       2      0%      0%      0%  S                0  migration/1           
    16       2      0%      0%      0%  S                0  desched/0             
    15       2      0%      0%      0%  S                0  watchdog/0            
    14       2      0%      0%      0%  S                0  stopper/0             
    13       2      0%      0%      0%  S                0  sirq-rcu/0            
    12       2      0%      0%      0%  S                0  sirq-hrtimer/0        
    11       2      0%      0%      0%  S                0  sirq-sched/0          
    10       2      0%      0%      0%  S                0  sirq-tasklet/0        
     9       2      0%      0%      0%  S                0  sirq-block-iopo       
     8       2      0%      0%      0%  S                0  sirq-block/0          
     7       2      0%      0%      0%  S                0  sirq-net-rx/0         
     6       2      0%      0%      0%  S                0  sirq-net-tx/0         
     5       2      0%      0%      0%  S                0  sirq-timer/0          
     4       2      0%      0%      0%  S                0  sirq-high/0           
     3       2      0%      0%      0%  S                0  migration/0           
     2       0      0%      0%      0%  S                0  kthreadd              
     1       0      0%      0%      0%  S          1863680  init

